variable,samples,response,method,test statistic,runtime,p.value,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
env2,225,UU,CQO,5.653380287790855,123.84199999999691,0,0,0,0,0,0,0,0,0,0,0
Noise,225,UU,CQO,4.375412222972102e-4,123.84199999999691,0.9306930693069307,0,0,0,0,0,0,0,0,0,0
Noise,225,UU,CQO,3.080640486910634e-4,123.84199999999691,0.9801980198019802,0,0,0,0,0,0,0,0,0,0
env1,400,UU,CQO,5.389289406649183,985.7419999999984,0,0,0,0,0,0,0,0,0,0,0
env2,400,UU,CQO,5.389157567661737,985.7419999999984,0,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,6.463267971202532e-4,985.7419999999984,0.8613861386138614,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,2.0460883542593004e-4,985.7419999999984,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
env1,400,UU,CQO,5.684010424314085,226.65399999999863,0,0,0,0,0,0,0,0,0,0,0
env2,400,UU,CQO,5.684004745184258,226.65399999999863,0,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,2.7233850185441133e-4,226.65399999999863,0.9603960396039604,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,4.380942640496029e-4,226.65399999999863,0.9108910891089109,0,0,0,0,0,0,0,0,0,0
env1,400,UU,CQO,5.635168024228873,225.24599999999919,0,0,0,0,0,0,0,0,0,0,0
env2,400,UU,CQO,5.635123758599429,225.24599999999919,0,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,4.754687276665767e-5,225.24599999999919,0.9801980198019802,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,3.7650302797091875e-4,225.24599999999919,0.9207920792079208,0,0,0,0,0,0,0,0,0,0
env1,400,UU,CQO,5.680602467387534,187.08699999999953,0,0,0,0,0,0,0,0,0,0,0
env2,400,UU,CQO,5.680591231600801,187.08699999999953,0,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,5.15131010773374e-4,187.08699999999953,0.8712871287128713,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,3.952815255186746e-4,187.08699999999953,0.9108910891089109,0,0,0,0,0,0,0,0,0,0
env1,400,UU,CQO,5.653686251249189,182.07400000000052,0,0,0,0,0,0,0,0,0,0,0
env2,400,UU,CQO,5.65373083790897,182.07400000000052,0,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,2.8773646278417787e-4,182.07400000000052,0.9306930693069307,0,0,0,0,0,0,0,0,0,0
Noise,400,UU,CQO,6.307620344436903e-4,182.07400000000052,0.8316831683168316,0,0,0,0,0,0,0,0,0,0
env1,625,UU,CQO,4.250458650187591,249.65299999999843,0,0,0,0,0,0,0,0,0,0,0
env2,625,UU,CQO,4.250538890630201,249.65299999999843,0,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,0.0010576046230529078,249.65299999999843,0.5346534653465347,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,4.731328584926987e-4,249.65299999999843,0.8316831683168316,0,0,0,0,0,0,0,0,0,0
env1,625,UU,CQO,5.531058325694444,1078.6489999999976,0,0,0,0,0,0,0,0,0,0,0
env2,625,UU,CQO,5.531087580795293,1078.6489999999976,0,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,9.699493539803484e-5,1078.6489999999976,0.9702970297029703,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,1.1918854728428335e-4,1078.6489999999976,0.9702970297029703,0,0,0,0,0,0,0,0,0,0
env1,625,UU,CQO,5.504833141887051,1034.916999999994,0,0,0,0,0,0,0,0,0,0,0
env2,625,UU,CQO,5.50485943794648,1034.916999999994,0,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,4.6921691979155114e-4,1034.916999999994,0.8910891089108911,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,5.209576521830944e-4,1034.916999999994,0.8217821782178217,0,0,0,0,0,0,0,0,0,0
env1,625,UU,CQO,5.530502850280455,1075.648000000001,0,0,0,0,0,0,0,0,0,0,0
env2,625,UU,CQO,5.530475446975913,1075.648000000001,0,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,2.156651208334099e-4,1075.648000000001,0.9504950495049505,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,2.527565485150379e-4,1075.648000000001,0.900990099009901,0,0,0,0,0,0,0,0,0,0
env1,625,UU,CQO,5.620805142845597,1023.3499999999913,0,0,0,0,0,0,0,0,0,0,0
env2,625,UU,CQO,5.620807232200319,1023.3499999999913,0,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,1.0336738007254577e-4,1023.3499999999913,0.9702970297029703,0,0,0,0,0,0,0,0,0,0
Noise,625,UU,CQO,1.0178661695227967e-4,1023.3499999999913,0.9603960396039604,0,0,0,0,0,0,0,0,0,0
env1,900,UU,CQO,5.581612472198573,1689.81,0,0,0,0,0,0,0,0,0,0,0
env2,900,UU,CQO,5.581610104503261,1689.81,0,0,0,0,0,0,0,0,0,0,0
Noise,900,UU,CQO,6.403771378325959e-5,1689.81,0.9900990099009901,0,0,0,0,0,0,0,0,0,0
Noise,900,UU,CQO,1.6907342748989466e-4,1689.81,0.9801980198019802,0,0,0,0,0,0,0,0,0,0
env1,900,UU,CQO,5.499048165740854,1989.6400000000012,0,0,0,0,0,0,0,0,0,0,0
env2,900,UU,CQO,5.499034972610985,1989.6400000000012,0,0,0,0,0,0,0,0,0,0,0
Noise,900,UU,CQO,1.936807173385739e-4,1989.6400000000012,0.9603960396039604,0,0,0,0,0,0,0,0,0,0
Noise,900,UU,CQO,2.5680397431416787e-4,1989.6400000000012,0.9405940594059405,0,0,0,0,0,0,0,0,0,0
env1,900,UU,CQO,5.5807501078155575,1888.1670000000013,0,0,0,0,0,0,0,0,0,0,0
env2,900,UU,CQO,5.580748034871227,1888.1670000000013,0,0,0,0,0,0,0,0,0,0,0
Noise,900,UU,CQO,1.0098947978102896e-4,1888.1670000000013,0.9801980198019802,0,0,0,0,0,0,0,0,0,0
