variable,test statistic,p.value,response,response1,response2,samples,runtime,method,false.negative.01,false.negative.03,false.negative.05,false.negative.07,false.negative.1,false.positive.01,false.positive.03,false.positive.05,false.positive.07,false.positive.1
env1,3.693956605061624,0.001,UU,U,U,25,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.3000227346307565,0.001,UU,U,U,25,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.764454630644595,0.001,UU,U,U,25,0.03300000000000125,CCA,0,0,0,0,0,1,1,1,1,1
Noise,2.8685862912963844,0.001,UU,U,U,25,0.03300000000000125,CCA,0,0,0,0,0,1,1,1,1,1
env1,4.009838449590435,0.001,UU,U,U,25,0.0309999999999917,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.326985222865414,0.001,UU,U,U,25,0.0309999999999917,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.5157638008799785,0.001,UU,U,U,25,0.0309999999999917,CCA,0,0,0,0,0,1,1,1,1,1
Noise,3.9246689683463676,0.001,UU,U,U,25,0.0309999999999917,CCA,0,0,0,0,0,1,1,1,1,1
env1,4.436184709920331,0.001,UU,U,U,25,0.028000000000005798,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.592733952808588,0.001,UU,U,U,25,0.028000000000005798,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.284851874444267,0.001,UU,U,U,25,0.028000000000005798,CCA,0,0,0,0,0,1,1,1,1,1
Noise,4.33191986537484,0.001,UU,U,U,25,0.028000000000005798,CCA,0,0,0,0,0,1,1,1,1,1
env1,4.2595155125297834,0.001,UU,U,U,25,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.367992260769832,0.001,UU,U,U,25,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.109527495722873,0.001,UU,U,U,25,0.045000000000001705,CCA,0,0,0,0,0,1,1,1,1,1
Noise,3.8969582436825276,0.001,UU,U,U,25,0.045000000000001705,CCA,0,0,0,0,0,1,1,1,1,1
env1,4.295116210428271,0.001,UU,U,U,25,0.034000000000006025,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.2010074078545765,0.001,UU,U,U,25,0.034000000000006025,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.324439356401555,0.001,UU,U,U,25,0.034000000000006025,CCA,0,0,0,0,0,1,1,1,1,1
Noise,4.254286778234421,0.001,UU,U,U,25,0.034000000000006025,CCA,0,0,0,0,0,1,1,1,1,1
env1,17.296939140738885,0.001,UU,U,U,100,0.03200000000001069,CCA,0,0,0,0,0,0,0,0,0,0
env2,17.05787730417508,0.001,UU,U,U,100,0.03200000000001069,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.6194263801751059,0.752,UU,U,U,100,0.03200000000001069,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.943393427337287,0.002,UU,U,U,100,0.03200000000001069,CCA,0,0,0,0,0,1,1,1,1,1
env1,16.775255048004528,0.001,UU,U,U,100,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
env2,16.663466620224412,0.001,UU,U,U,100,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.253521042088474,0.25,UU,U,U,100,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.664557194554783,0.725,UU,U,U,100,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
env1,16.756086253180424,0.001,UU,U,U,100,0.031999999999996476,CCA,0,0,0,0,0,0,0,0,0,0
env2,17.095808856716896,0.001,UU,U,U,100,0.031999999999996476,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.4358403224550225,0.001,UU,U,U,100,0.031999999999996476,CCA,0,0,0,0,0,1,1,1,1,1
Noise,0.7917262768835807,0.646,UU,U,U,100,0.031999999999996476,CCA,0,0,0,0,0,0,0,0,0,0
env1,17.09911129895441,0.001,UU,U,U,100,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
env2,16.32040649552265,0.001,UU,U,U,100,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.6197582326081738,0.764,UU,U,U,100,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.4570091002386505,0.016,UU,U,U,100,0.03300000000000125,CCA,0,0,0,0,0,0,1,1,1,1
env1,16.733937669665476,0.001,UU,U,U,100,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
env2,16.17950815444435,0.001,UU,U,U,100,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.7082919584082106,0.687,UU,U,U,100,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.5315543548315251,0.831,UU,U,U,100,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
env1,38.53484998519972,0.001,UU,U,U,225,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
env2,38.67543043730328,0.001,UU,U,U,225,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.787013140649489,0.001,UU,U,U,225,0.03300000000000125,CCA,0,0,0,0,0,1,1,1,1,1
Noise,1.1798633424712355,0.306,UU,U,U,225,0.03300000000000125,CCA,0,0,0,0,0,0,0,0,0,0
env1,38.876550951004006,0.001,UU,U,U,225,0.05699999999998795,CCA,0,0,0,0,0,0,0,0,0,0
env2,38.83244507748106,0.001,UU,U,U,225,0.05699999999998795,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.3590706941731128,0.002,UU,U,U,225,0.05699999999998795,CCA,0,0,0,0,0,1,1,1,1,1
Noise,3.530006882165737,0.001,UU,U,U,225,0.05699999999998795,CCA,0,0,0,0,0,1,1,1,1,1
env1,38.52079356438475,0.001,UU,U,U,225,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
env2,38.4352668221983,0.001,UU,U,U,225,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.5876154441391883,0.13,UU,U,U,225,0.045000000000001705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.673298348227407,0.009,UU,U,U,225,0.045000000000001705,CCA,0,0,0,0,0,1,1,1,1,1
env1,38.32677162975154,0.001,UU,U,U,225,0.038000000000010914,CCA,0,0,0,0,0,0,0,0,0,0
env2,38.06151831523159,0.001,UU,U,U,225,0.038000000000010914,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.3373552058758467,0.207,UU,U,U,225,0.038000000000010914,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.384985633288156,0.211,UU,U,U,225,0.038000000000010914,CCA,0,0,0,0,0,0,0,0,0,0
env1,38.07961487584397,0.001,UU,U,U,225,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
env2,37.90962477599546,0.001,UU,U,U,225,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.5620560222795477,0.009,UU,U,U,225,0.03999999999999204,CCA,0,0,0,0,0,1,1,1,1,1
Noise,1.8839111809192772,0.051,UU,U,U,225,0.03999999999999204,CCA,0,0,0,0,0,0,0,0,1,1
env1,67.9687165914076,0.001,UU,U,U,400,0.05299999999999727,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.9956179370673,0.001,UU,U,U,400,0.05299999999999727,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.4025572718125068,0.209,UU,U,U,400,0.05299999999999727,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.290170985696205,0.001,UU,U,U,400,0.05299999999999727,CCA,0,0,0,0,0,1,1,1,1,1
env1,67.22852009398275,0.001,UU,U,U,400,0.05200000000000671,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.29157676401658,0.001,UU,U,U,400,0.05200000000000671,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.463850244086127,0.854,UU,U,U,400,0.05200000000000671,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.5444902620497665,0.847,UU,U,U,400,0.05200000000000671,CCA,0,0,0,0,0,0,0,0,0,0
env1,67.67791656720874,0.001,UU,U,U,400,0.028999999999996362,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.77520969404688,0.001,UU,U,U,400,0.028999999999996362,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.638792686799274,0.13,UU,U,U,400,0.028999999999996362,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.004405074969621,0.042,UU,U,U,400,0.028999999999996362,CCA,0,0,0,0,0,0,0,1,1,1
env1,67.61401944081335,0.001,UU,U,U,400,0.04800000000000182,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.28859643273836,0.001,UU,U,U,400,0.04800000000000182,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.6153403905715358,0.001,UU,U,U,400,0.04800000000000182,CCA,0,0,0,0,0,1,1,1,1,1
Noise,0.8629633069479652,0.57,UU,U,U,400,0.04800000000000182,CCA,0,0,0,0,0,0,0,0,0,0
env1,66.96339208840828,0.001,UU,U,U,400,0.057999999999992724,CCA,0,0,0,0,0,0,0,0,0,0
env2,67.57824646734775,0.001,UU,U,U,400,0.057999999999992724,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.284836031746261,0.26,UU,U,U,400,0.057999999999992724,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.8331983165275298,0.578,UU,U,U,400,0.057999999999992724,CCA,0,0,0,0,0,0,0,0,0,0
env1,106.34300985883993,0.001,UU,U,U,625,0.060000000000002274,CCA,0,0,0,0,0,0,0,0,0,0
env2,106.5557086074951,0.001,UU,U,U,625,0.060000000000002274,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.3313265670984602,0.217,UU,U,U,625,0.060000000000002274,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.0060081943823334,0.001,UU,U,U,625,0.060000000000002274,CCA,0,0,0,0,0,1,1,1,1,1
env1,106.69150411635466,0.001,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,0,0
env2,106.50233064855662,0.001,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.036700597393795,0.005,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,1,1,1,1,1
Noise,2.037170429428024,0.05,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,1,1
env1,106.41865579417058,0.001,UU,U,U,625,0.06100000000000705,CCA,0,0,0,0,0,0,0,0,0,0
env2,106.51283001807158,0.001,UU,U,U,625,0.06100000000000705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.4918687683211815,0.172,UU,U,U,625,0.06100000000000705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.458101643266518,0.002,UU,U,U,625,0.06100000000000705,CCA,0,0,0,0,0,1,1,1,1,1
env1,106.18331044155578,0.001,UU,U,U,625,0.07899999999999352,CCA,0,0,0,0,0,0,0,0,0,0
env2,105.94045270536202,0.001,UU,U,U,625,0.07899999999999352,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.47324029253566047,0.898,UU,U,U,625,0.07899999999999352,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.4912518628636806,0.161,UU,U,U,625,0.07899999999999352,CCA,0,0,0,0,0,0,0,0,0,0
env1,105.36574680223255,0.001,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,0,0
env2,106.3396950712469,0.001,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.730051400075699,0.01,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,1,1,1,1
Noise,2.363362556176892,0.012,UU,U,U,625,0.06199999999999761,CCA,0,0,0,0,0,0,1,1,1,1
env1,152.90542097037013,0.001,UU,U,U,900,0.11400000000000432,CCA,0,0,0,0,0,0,0,0,0,0
env2,152.9895436033234,0.001,UU,U,U,900,0.11400000000000432,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.6386030019944885,0.777,UU,U,U,900,0.11400000000000432,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.459865372956263,0.002,UU,U,U,900,0.11400000000000432,CCA,0,0,0,0,0,1,1,1,1,1
env1,152.33201332709513,0.001,UU,U,U,900,0.1280000000000001,CCA,0,0,0,0,0,0,0,0,0,0
env2,152.02007028958036,0.001,UU,U,U,900,0.1280000000000001,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.4335934162942634,0.18,UU,U,U,900,0.1280000000000001,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.2716612465458871,0.979,UU,U,U,900,0.1280000000000001,CCA,0,0,0,0,0,0,0,0,0,0
env1,153.27176095244297,0.001,UU,U,U,900,0.09100000000000819,CCA,0,0,0,0,0,0,0,0,0,0
env2,153.32839680741958,0.001,UU,U,U,900,0.09100000000000819,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.0408303236468575,0.002,UU,U,U,900,0.09100000000000819,CCA,0,0,0,0,0,1,1,1,1,1
Noise,5.100079130975935,0.001,UU,U,U,900,0.09100000000000819,CCA,0,0,0,0,0,1,1,1,1,1
env1,152.70681033153343,0.001,UU,U,U,900,0.07399999999999807,CCA,0,0,0,0,0,0,0,0,0,0
env2,152.8753689346866,0.001,UU,U,U,900,0.07399999999999807,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.084960610351116,0.002,UU,U,U,900,0.07399999999999807,CCA,0,0,0,0,0,1,1,1,1,1
Noise,0.9843940157328778,0.43,UU,U,U,900,0.07399999999999807,CCA,0,0,0,0,0,0,0,0,0,0
env1,153.12146018586344,0.001,UU,U,U,900,0.08899999999999864,CCA,0,0,0,0,0,0,0,0,0,0
env2,153.10247557903654,0.001,UU,U,U,900,0.08899999999999864,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.536884528952398,0.015,UU,U,U,900,0.08899999999999864,CCA,0,0,0,0,0,0,1,1,1,1
Noise,1.7426316057176352,0.077,UU,U,U,900,0.08899999999999864,CCA,0,0,0,0,0,0,0,0,0,1
env1,8.50698844699672,0.001,UL,U,L,25,0.04200000000000159,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.024392779283103107,0.999,UL,U,L,25,0.04200000000000159,CCA,1,1,1,1,1,0,0,0,0,0
Noise,1.7652451511542986,0.128,UL,U,L,25,0.04200000000000159,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.6022528143765464,0.159,UL,U,L,25,0.04200000000000159,CCA,0,0,0,0,0,0,0,0,0,0
env1,9.425328769266928,0.001,UL,U,L,25,0.046999999999997044,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.006577303501687288,1,UL,U,L,25,0.046999999999997044,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.4178019628070489,0.828,UL,U,L,25,0.046999999999997044,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.871748879542826,0.098,UL,U,L,25,0.046999999999997044,CCA,0,0,0,0,0,0,0,0,0,1
env1,11.028737263026136,0.001,UL,U,L,25,0.03900000000000148,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.1050457877624784,0.986,UL,U,L,25,0.03900000000000148,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.7166412755632553,0.58,UL,U,L,25,0.03900000000000148,CCA,0,0,0,0,0,0,0,0,0,0
Noise,4.484207965961905,0.002,UL,U,L,25,0.03900000000000148,CCA,0,0,0,0,0,1,1,1,1,1
env1,9.205991917690701,0.001,UL,U,L,25,0.04399999999999693,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.10180913594593735,0.985,UL,U,L,25,0.04399999999999693,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.5202203811472221,0.739,UL,U,L,25,0.04399999999999693,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.9041392600758895,0.468,UL,U,L,25,0.04399999999999693,CCA,0,0,0,0,0,0,0,0,0,0
env1,9.347824050238614,0.001,UL,U,L,25,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.14715055978253258,0.965,UL,U,L,25,0.03699999999999193,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.780341819356053,0.557,UL,U,L,25,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.9362144066719866,0.473,UL,U,L,25,0.03699999999999193,CCA,0,0,0,0,0,0,0,0,0,0
env1,45.131522029046195,0.001,UL,U,L,100,0.029000000000010573,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.0263961790577614,1,UL,U,L,100,0.029000000000010573,CCA,1,1,1,1,1,0,0,0,0,0
Noise,1.0267905222273865,0.398,UL,U,L,100,0.029000000000010573,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.8763392161906283,0.018,UL,U,L,100,0.029000000000010573,CCA,0,0,0,0,0,0,1,1,1,1
env1,45.04794531634063,0.001,UL,U,L,100,0.04599999999999227,CCA,0,0,0,0,0,0,0,0,0,0
env2,3.212860933972658e-4,1,UL,U,L,100,0.04599999999999227,CCA,1,1,1,1,1,0,0,0,0,0
Noise,1.6607724100688948,0.13,UL,U,L,100,0.04599999999999227,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.4196551994205755,0.217,UL,U,L,100,0.04599999999999227,CCA,0,0,0,0,0,0,0,0,0,0
env1,44.87716762161786,0.001,UL,U,L,100,0.04099999999999682,CCA,0,0,0,0,0,0,0,0,0,0
env2,7.057827684072502e-4,1,UL,U,L,100,0.04099999999999682,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.8903303577490361,0.471,UL,U,L,100,0.04099999999999682,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.2399205912402222,0.052,UL,U,L,100,0.04099999999999682,CCA,0,0,0,0,0,0,0,0,1,1
env1,44.10760535998561,0.001,UL,U,L,100,0.03700000000000614,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.002561190405405922,1,UL,U,L,100,0.03700000000000614,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.3403476184632033,0.908,UL,U,L,100,0.03700000000000614,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.1072211496213376,0.332,UL,U,L,100,0.03700000000000614,CCA,0,0,0,0,0,0,0,0,0,0
env1,45.01892873263306,0.001,UL,U,L,100,0.03700000000000614,CCA,0,0,0,0,0,0,0,0,0,0
env2,7.679423193643144e-5,1,UL,U,L,100,0.03700000000000614,CCA,1,1,1,1,1,0,0,0,0,0
Noise,2.0730286664553477,0.076,UL,U,L,100,0.03700000000000614,CCA,0,0,0,0,0,0,0,0,0,1
Noise,0.6232749672769063,0.684,UL,U,L,100,0.03700000000000614,CCA,0,0,0,0,0,0,0,0,0,0
env1,102.93046133637466,0.001,UL,U,L,225,0.05299999999999727,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.03013738058505419,1,UL,U,L,225,0.05299999999999727,CCA,1,1,1,1,1,0,0,0,0,0
Noise,1.8291010680762065,0.106,UL,U,L,225,0.05299999999999727,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.4869662125218612,0.01,UL,U,L,225,0.05299999999999727,CCA,0,0,0,0,0,0,1,1,1,1
env1,102.35827378573833,0.001,UL,U,L,225,0.04100000000001103,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.013983678766861856,1,UL,U,L,225,0.04100000000001103,CCA,1,1,1,1,1,0,0,0,0,0
Noise,1.1410020583425418,0.326,UL,U,L,225,0.04100000000001103,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.606438206522264,0.674,UL,U,L,225,0.04100000000001103,CCA,0,0,0,0,0,0,0,0,0,0
env1,102.08299946973187,0.001,UL,U,L,225,0.043000000000006366,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.0011100153649792,1,UL,U,L,225,0.043000000000006366,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.5763342241234375,0.704,UL,U,L,225,0.043000000000006366,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.5496551912290502,0.737,UL,U,L,225,0.043000000000006366,CCA,0,0,0,0,0,0,0,0,0,0
env1,101.96078811917899,0.001,UL,U,L,225,0.04200000000000159,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.012746515720253829,1,UL,U,L,225,0.04200000000000159,CCA,1,1,1,1,1,0,0,0,0,0
Noise,1.6532482231861987,0.151,UL,U,L,225,0.04200000000000159,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.126499245570379,0.347,UL,U,L,225,0.04200000000000159,CCA,0,0,0,0,0,0,0,0,0,0
env1,102.32988730973275,0.001,UL,U,L,225,0.0379999999999967,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.0024586038639421034,1,UL,U,L,225,0.0379999999999967,CCA,1,1,1,1,1,0,0,0,0,0
Noise,1.0708358622110825,0.334,UL,U,L,225,0.0379999999999967,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.139379380162924,0.068,UL,U,L,225,0.0379999999999967,CCA,0,0,0,0,0,0,0,0,1,1
env1,182.8140242115573,0.001,UL,U,L,400,0.05300000000001148,CCA,0,0,0,0,0,0,0,0,0,0
env2,1.3468560587637492e-4,1,UL,U,L,400,0.05300000000001148,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.4681661367559388,0.782,UL,U,L,400,0.05300000000001148,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.7449612625882234,0.124,UL,U,L,400,0.05300000000001148,CCA,0,0,0,0,0,0,0,0,0,0
env1,181.81531578226833,0.001,UL,U,L,400,0.08100000000000307,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.004453958105192087,1,UL,U,L,400,0.08100000000000307,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.885789556707896,0.441,UL,U,L,400,0.08100000000000307,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.9878691055014804,0.403,UL,U,L,400,0.08100000000000307,CCA,0,0,0,0,0,0,0,0,0,0
env1,182.3949591331026,0.001,UL,U,L,400,0.04800000000000182,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.005598092681720908,1,UL,U,L,400,0.04800000000000182,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.9002113850003287,0.449,UL,U,L,400,0.04800000000000182,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.20049851653439285,0.982,UL,U,L,400,0.04800000000000182,CCA,0,0,0,0,0,0,0,0,0,0
env1,183.27675743655095,0.001,UL,U,L,400,0.06699999999999307,CCA,0,0,0,0,0,0,0,0,0,0
env2,2.7381055062558076e-4,1,UL,U,L,400,0.06699999999999307,CCA,1,1,1,1,1,0,0,0,0,0
Noise,2.7795880635384327,0.021,UL,U,L,400,0.06699999999999307,CCA,0,0,0,0,0,0,1,1,1,1
Noise,0.8723089638157305,0.498,UL,U,L,400,0.06699999999999307,CCA,0,0,0,0,0,0,0,0,0,0
env1,184.1766614310483,0.001,UL,U,L,400,0.049000000000006594,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.005112504383380479,1,UL,U,L,400,0.049000000000006594,CCA,1,1,1,1,1,0,0,0,0,0
Noise,3.3712374991878153,0.007,UL,U,L,400,0.049000000000006594,CCA,0,0,0,0,0,1,1,1,1,1
Noise,1.2875077211703019,0.223,UL,U,L,400,0.049000000000006594,CCA,0,0,0,0,0,0,0,0,0,0
env1,286.6005029801731,0.001,UL,U,L,625,0.06100000000000705,CCA,0,0,0,0,0,0,0,0,0,0
env2,8.426381467485487e-4,1,UL,U,L,625,0.06100000000000705,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.9498892811180243,0.444,UL,U,L,625,0.06100000000000705,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.7421276566282807,0.579,UL,U,L,625,0.06100000000000705,CCA,0,0,0,0,0,0,0,0,0,0
env1,286.7965070166176,0.001,UL,U,L,625,0.06300000000000239,CCA,0,0,0,0,0,0,0,0,0,0
env2,6.336363143643597e-4,1,UL,U,L,625,0.06300000000000239,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.9855980704923274,0.418,UL,U,L,625,0.06300000000000239,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.469891262193212,0.793,UL,U,L,625,0.06300000000000239,CCA,0,0,0,0,0,0,0,0,0,0
env1,287.18868472002464,0.001,UL,U,L,625,0.07600000000000762,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.015997221635761304,1,UL,U,L,625,0.07600000000000762,CCA,1,1,1,1,1,0,0,0,0,0
Noise,1.4647343643939357,0.182,UL,U,L,625,0.07600000000000762,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.0604702334976408,0.379,UL,U,L,625,0.07600000000000762,CCA,0,0,0,0,0,0,0,0,0,0
env1,286.6659127864612,0.001,UL,U,L,625,0.08800000000000807,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.0054320924225735,1,UL,U,L,625,0.08800000000000807,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.9917016327217865,0.41,UL,U,L,625,0.08800000000000807,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.7614332794104189,0.563,UL,U,L,625,0.08800000000000807,CCA,0,0,0,0,0,0,0,0,0,0
env1,287.09847167106227,0.001,UL,U,L,625,0.09700000000000841,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.02176052053139357,1,UL,U,L,625,0.09700000000000841,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.7299466853269498,0.578,UL,U,L,625,0.09700000000000841,CCA,0,0,0,0,0,0,0,0,0,0
Noise,2.891305739231432,0.013,UL,U,L,625,0.09700000000000841,CCA,0,0,0,0,0,0,1,1,1,1
env1,417.72059325775774,0.001,UL,U,L,900,0.07800000000000296,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.0017982173219784597,1,UL,U,L,900,0.07800000000000296,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.34211554055421106,0.889,UL,U,L,900,0.07800000000000296,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.5364151694285764,0.151,UL,U,L,900,0.07800000000000296,CCA,0,0,0,0,0,0,0,0,0,0
env1,418.4925123237091,0.001,UL,U,L,900,0.09399999999999409,CCA,0,0,0,0,0,0,0,0,0,0
env2,0.001096668888826103,1,UL,U,L,900,0.09399999999999409,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.3357813639351966,0.878,UL,U,L,900,0.09399999999999409,CCA,0,0,0,0,0,0,0,0,0,0
Noise,3.2373668118521555,0.013,UL,U,L,900,0.09399999999999409,CCA,0,0,0,0,0,0,1,1,1,1
env1,418.35980211427744,0.001,UL,U,L,900,0.07600000000000762,CCA,0,0,0,0,0,0,0,0,0,0
env2,3.986934333281169e-5,1,UL,U,L,900,0.07600000000000762,CCA,1,1,1,1,1,0,0,0,0,0
Noise,2.6146586689715243,0.031,UL,U,L,900,0.07600000000000762,CCA,0,0,0,0,0,0,0,1,1,1
Noise,1.2206867390538594,0.287,UL,U,L,900,0.07600000000000762,CCA,0,0,0,0,0,0,0,0,0,0
env1,417.6833749515342,0.001,UL,U,L,900,0.09099999999999397,CCA,0,0,0,0,0,0,0,0,0,0
env2,4.5025432549206505e-5,1,UL,U,L,900,0.09099999999999397,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.7486447426932531,0.564,UL,U,L,900,0.09099999999999397,CCA,0,0,0,0,0,0,0,0,0,0
Noise,0.6734392051956986,0.651,UL,U,L,900,0.09099999999999397,CCA,0,0,0,0,0,0,0,0,0,0
env1,417.5332471838776,0.001,UL,U,L,900,0.09600000000000364,CCA,0,0,0,0,0,0,0,0,0,0
env2,7.987875668292001e-5,1,UL,U,L,900,0.09600000000000364,CCA,1,1,1,1,1,0,0,0,0,0
Noise,0.748207490512624,0.552,UL,U,L,900,0.09600000000000364,CCA,0,0,0,0,0,0,0,0,0,0
Noise,1.0775033900369022,0.375,UL,U,L,900,0.09600000000000364,CCA,0,0,0,0,0,0,0,0,0,0
